                             C                           lam                             R                            Et                            Ef                             E                            Ft                            Ff                             F
      9.612224448897794815e-01      1.000000000000000000e+00      7.275619219087237077e-01      0.000000000000000000e+00      3.834696129374931063e-19      3.834696129374931063e-19      0.000000000000000000e+00     -1.747090737905110664e-17     -1.747090737905110664e-17
      9.616232464929859169e-01      1.000000000000000000e+00      7.292539068504797495e-01      0.000000000000000000e+00      3.764919613108593756e-19      3.764919613108593756e-19      0.000000000000000000e+00     -1.734738715669598914e-17     -1.734738715669598914e-17
      9.620240480961923524e-01      1.000000000000000000e+00      7.309573325816361988e-01      0.000000000000000000e+00      3.695640277270671121e-19      3.695640277270671121e-19      0.000000000000000000e+00     -1.722300045605147939e-17     -1.722300045605147939e-17
      9.624248496993987878e-01      1.000000000000000000e+00      7.326723296644894745e-01      0.000000000000000000e+00      3.626861130263259201e-19      3.626861130263259201e-19      0.000000000000000000e+00     -1.709772471484827889e-17     -1.709772471484827889e-17
      9.628256513026051122e-01      1.000000000000000000e+00      7.343990307646586224e-01      0.000000000000000000e+00      3.558585215256402585e-19      3.558585215256402585e-19      0.000000000000000000e+00     -1.697188161875758622e-17     -1.697188161875758622e-17
      9.632264529058115476e-01      1.000000000000000000e+00      7.361375706848400924e-01      0.000000000000000000e+00      3.490815611148228741e-19      3.490815611148228741e-19      0.000000000000000000e+00     -1.684509606403378280e-17     -1.684509606403378280e-17
      9.636272545090179831e-01      1.000000000000000000e+00      7.378880864144126139e-01      0.000000000000000000e+00      3.423555432941645469e-19      3.423555432941645469e-19      0.000000000000000000e+00     -1.671768129596008591e-17     -1.671768129596008591e-17
      9.640280561122244185e-01      1.000000000000000000e+00      7.396507171738962994e-01      0.000000000000000000e+00      3.356807832386181131e-19      3.356807832386181131e-19      0.000000000000000000e+00     -1.658927297433185367e-17     -1.658927297433185367e-17
      9.644288577154308539e-01      1.000000000000000000e+00      7.414256044595100015e-01      0.000000000000000000e+00      3.290575998667780051e-19      3.290575998667780051e-19      0.000000000000000000e+00     -1.646017572589580225e-17     -1.646017572589580225e-17
      9.648296593186371783e-01      1.000000000000000000e+00      7.432128921001182054e-01      0.000000000000000000e+00      3.224863158695592263e-19      3.224863158695592263e-19      0.000000000000000000e+00     -1.633003570195066180e-17     -1.633003570195066180e-17
      9.652304609218436138e-01      1.000000000000000000e+00      7.450127262932358940e-01      0.000000000000000000e+00      3.159672578228339195e-19      3.159672578228339195e-19      0.000000000000000000e+00     -1.619978053146897130e-17     -1.619978053146897130e-17
      9.656312625250500492e-01      1.000000000000000000e+00      7.468252556639489725e-01      0.000000000000000000e+00      3.095007562204507615e-19      3.095007562204507615e-19      0.000000000000000000e+00     -1.606810610469266296e-17     -1.606810610469266296e-17
      9.660320641282564846e-01      1.000000000000000000e+00      7.486506313186978012e-01      0.000000000000000000e+00      3.030871455338542916e-19      3.030871455338542916e-19      0.000000000000000000e+00     -1.593562106844723661e-17     -1.593562106844723661e-17
      9.664328657314629201e-01      1.000000000000000000e+00      7.504890068956685534e-01      0.000000000000000000e+00      2.967267642900221439e-19      2.967267642900221439e-19      0.000000000000000000e+00     -1.580259558737046604e-17     -1.580259558737046604e-17
      9.668336673346692445e-01      1.000000000000000000e+00      7.523405386152961505e-01      0.000000000000000000e+00      2.904199551542713208e-19      2.904199551542713208e-19      0.000000000000000000e+00     -1.566839116513012583e-17     -1.566839116513012583e-17
      9.672344689378756799e-01      1.000000000000000000e+00      7.542053853449577350e-01      0.000000000000000000e+00      2.841670649708129328e-19      2.841670649708129328e-19      0.000000000000000000e+00     -1.553357663476494048e-17     -1.553357663476494048e-17
      9.676352705410821153e-01      1.000000000000000000e+00      7.560837086514934358e-01      0.000000000000000000e+00      2.779684448522921483e-19      2.779684448522921483e-19      0.000000000000000000e+00     -1.539753263646409451e-17     -1.539753263646409451e-17
      9.680360721442885508e-01      1.000000000000000000e+00      7.579756728608890715e-01      0.000000000000000000e+00      2.718244502511452464e-19      2.718244502511452464e-19      0.000000000000000000e+00     -1.526081139693536691e-17     -1.526081139693536691e-17
      9.684368737474949862e-01      1.000000000000000000e+00      7.598814451233777412e-01      0.000000000000000000e+00      2.657354410205754735e-19      2.657354410205754735e-19      0.000000000000000000e+00     -1.512337104164694185e-17     -1.512337104164694185e-17
      9.688376753507013106e-01      1.000000000000000000e+00      7.618011954681191966e-01      0.000000000000000000e+00      2.597017815161223515e-19      2.597017815161223515e-19      0.000000000000000000e+00     -1.498462160047895520e-17     -1.498462160047895520e-17
      9.692384769539077460e-01      1.000000000000000000e+00      7.637350968738652046e-01      0.000000000000000000e+00      2.537238406526838416e-19      2.537238406526838416e-19      0.000000000000000000e+00     -1.484508996212335511e-17     -1.484508996212335511e-17
      9.696392785571141815e-01      1.000000000000000000e+00      7.656833253362635983e-01      0.000000000000000000e+00      2.478019919807002102e-19      2.478019919807002102e-19      0.000000000000000000e+00     -1.470473667390523082e-17     -1.470473667390523082e-17
      9.700400801603206169e-01      1.000000000000000000e+00      7.676460599264876006e-01      0.000000000000000000e+00      2.419366137955956244e-19      2.419366137955956244e-19      0.000000000000000000e+00     -1.456326175297644456e-17     -1.456326175297644456e-17
      9.704408817635270523e-01      1.000000000000000000e+00      7.696234828747154921e-01      0.000000000000000000e+00      2.361280891793245528e-19      2.361280891793245528e-19      0.000000000000000000e+00     -1.442115452276537925e-17     -1.442115452276537925e-17
      9.708416833667333767e-01      1.000000000000000000e+00      7.716157796255425083e-01      0.000000000000000000e+00      2.303768061338641819e-19      2.303768061338641819e-19      0.000000000000000000e+00     -1.427785924896434463e-17     -1.427785924896434463e-17
      9.712424849699398122e-01      1.000000000000000000e+00      7.736231389306182926e-01      0.000000000000000000e+00      2.246831576126921997e-19      2.246831576126921997e-19      0.000000000000000000e+00     -1.413335288782155614e-17     -1.413335288782155614e-17
      9.716432865731462476e-01      1.000000000000000000e+00      7.756457529043827570e-01      0.000000000000000000e+00      2.190475416675861357e-19      2.190475416675861357e-19      0.000000000000000000e+00     -1.398810072956710313e-17     -1.398810072956710313e-17
      9.720440881763526830e-01      1.000000000000000000e+00      7.776838171188215076e-01      0.000000000000000000e+00      2.134703614914585461e-19      2.134703614914585461e-19      0.000000000000000000e+00     -1.384181542665698924e-17     -1.384181542665698924e-17
      9.724448897795591185e-01      1.000000000000000000e+00      7.797375306736800127e-01      0.000000000000000000e+00      2.079520255395570617e-19      2.079520255395570617e-19      0.000000000000000000e+00     -1.369446298040916497e-17     -1.369446298040916497e-17
      9.728456913827654429e-01      1.000000000000000000e+00      7.818070962827554649e-01      0.000000000000000000e+00      2.024929476138514396e-19      2.024929476138514396e-19      0.000000000000000000e+00     -1.354624158105196992e-17     -1.354624158105196992e-17
      9.732464929859718783e-01      1.000000000000000000e+00      7.838927203550811740e-01      0.000000000000000000e+00      1.970935469699563065e-19      1.970935469699563065e-19      0.000000000000000000e+00     -1.339687917533257858e-17     -1.339687917533257858e-17
      9.736472945891783137e-01      1.000000000000000000e+00      7.859946130904587047e-01      0.000000000000000000e+00      1.917542483953613020e-19      1.917542483953613020e-19      0.000000000000000000e+00     -1.324634439827814041e-17     -1.324634439827814041e-17
      9.740480961923847492e-01      1.000000000000000000e+00      7.881129885557196513e-01      0.000000000000000000e+00      1.864754823462297617e-19      1.864754823462297617e-19      0.000000000000000000e+00     -1.309482533741073046e-17     -1.309482533741073046e-17
      9.744488977955911846e-01      1.000000000000000000e+00      7.902480647895205879e-01      0.000000000000000000e+00      1.812576850200145340e-19      1.812576850200145340e-19      0.000000000000000000e+00     -1.294206532525036647e-17     -1.294206532525036647e-17
      9.748496993987975090e-01      1.000000000000000000e+00      7.924000638949624253e-01      0.000000000000000000e+00      1.761012984694652083e-19      1.761012984694652083e-19      0.000000000000000000e+00     -1.278824581930528996e-17     -1.278824581930528996e-17
      9.752505010020039444e-01      1.000000000000000000e+00      7.945692121288747689e-01      0.000000000000000000e+00      1.710067707327617812e-19      1.710067707327617812e-19      0.000000000000000000e+00     -1.263332657004707567e-17     -1.263332657004707567e-17
      9.756513026052103799e-01      1.000000000000000000e+00      7.967557400125977463e-01      0.000000000000000000e+00      1.659745559215030530e-19      1.659745559215030530e-19      0.000000000000000000e+00     -1.247726821387507275e-17     -1.247726821387507275e-17
      9.760521042084168153e-01      1.000000000000000000e+00      7.989598824341359595e-01      0.000000000000000000e+00      1.610051143402081974e-19      1.610051143402081974e-19      0.000000000000000000e+00     -1.232003255237624671e-17     -1.232003255237624671e-17
      9.764529058116231397e-01      1.000000000000000000e+00      8.011818787487753335e-01      0.000000000000000000e+00      1.560989126183126814e-19      1.560989126183126814e-19      0.000000000000000000e+00     -1.216158217556513404e-17     -1.216158217556513404e-17
      9.768537074148295751e-01      1.000000000000000000e+00      8.034219728923603920e-01      0.000000000000000000e+00      1.512564238231283415e-19      1.512564238231283415e-19      0.000000000000000000e+00     -1.200207084487366976e-17     -1.200207084487366976e-17
      9.772545090180360106e-01      1.000000000000000000e+00      8.056804135019404178e-01      0.000000000000000000e+00      1.464781275682336142e-19      1.464781275682336142e-19      0.000000000000000000e+00     -1.184145129196248754e-17     -1.184145129196248754e-17
      9.776553106212424460e-01      1.000000000000000000e+00      8.079574540206894140e-01      0.000000000000000000e+00      1.417645101661859851e-19      1.417645101661859851e-19      0.000000000000000000e+00     -1.167931335514244986e-17     -1.167931335514244986e-17
      9.780561122244488814e-01      1.000000000000000000e+00      8.102533528244071359e-01      0.000000000000000000e+00      1.371160647450884424e-19      1.371160647450884424e-19      0.000000000000000000e+00     -1.151617008890997312e-17     -1.151617008890997312e-17
      9.784569138276552058e-01      1.000000000000000000e+00      8.125683733465312031e-01      0.000000000000000000e+00      1.325332913802497546e-19      1.325332913802497546e-19      0.000000000000000000e+00     -1.135179162389654498e-17     -1.135179162389654498e-17
      9.788577154308616413e-01      1.000000000000000000e+00      8.149027842034356484e-01      0.000000000000000000e+00      1.280166972362459507e-19      1.280166972362459507e-19      0.000000000000000000e+00     -1.118596508225058746e-17     -1.118596508225058746e-17
      9.792585170340680767e-01      1.000000000000000000e+00      8.172568593306941409e-01      0.000000000000000000e+00      1.235667966986896058e-19      1.235667966986896058e-19      0.000000000000000000e+00     -1.101882709786829889e-17     -1.101882709786829889e-17
      9.796593186372745121e-01      1.000000000000000000e+00      8.196308781125352105e-01      0.000000000000000000e+00      1.191841115306792219e-19      1.191841115306792219e-19      0.000000000000000000e+00     -1.085049985896758850e-17     -1.085049985896758850e-17
      9.800601202404809476e-01      1.000000000000000000e+00      8.220251255258442802e-01      0.000000000000000000e+00      1.148691710129123637e-19      1.148691710129123637e-19      0.000000000000000000e+00     -1.068093277618364209e-17     -1.068093277618364209e-17
      9.804609218436872720e-01      1.000000000000000000e+00      8.244398922880675773e-01      0.000000000000000000e+00      1.106225120895138492e-19      1.106225120895138492e-19      0.000000000000000000e+00     -1.050976687302671289e-17     -1.050976687302671289e-17
      9.808617234468937074e-01      1.000000000000000000e+00      8.268754750000939513e-01      0.000000000000000000e+00      1.064446795349143286e-19      1.064446795349143286e-19      0.000000000000000000e+00     -1.033743035353839868e-17     -1.033743035353839868e-17
      9.812625250501001428e-01      1.000000000000000000e+00      8.293321763037431182e-01      0.000000000000000000e+00      1.023362261068731702e-19      1.023362261068731702e-19      0.000000000000000000e+00     -1.016357064314045844e-17     -1.016357064314045844e-17
      9.816633266533065783e-01      1.000000000000000000e+00      8.318103050449692226e-01      0.000000000000000000e+00      9.829771270334064024e-20      9.829771270334064024e-20      0.000000000000000000e+00     -9.988297424746931250e-18     -9.988297424746931250e-18
      9.820641282565130137e-01      1.000000000000000000e+00      8.343101764302919277e-01      0.000000000000000000e+00      9.432970854335098057e-20      9.432970854335098057e-20      0.000000000000000000e+00     -9.811706736058200191e-18     -9.811706736058200191e-18
      9.824649298597193381e-01      1.000000000000000000e+00      8.368321122014477087e-01      0.000000000000000000e+00      9.043279133076447931e-20      9.043279133076447931e-20      0.000000000000000000e+00     -9.633745135527574054e-18     -9.633745135527574054e-18
      9.828657314629257735e-01      1.000000000000000000e+00      8.393764408086596962e-01      0.000000000000000000e+00      8.660754743417623047e-20      8.660754743417623047e-20      0.000000000000000000e+00     -9.454095649993686945e-18     -9.454095649993686945e-18
      9.832665330661322090e-01      1.000000000000000000e+00      8.419434975950229605e-01      0.000000000000000000e+00      8.285457206340210676e-20      8.285457206340210676e-20      0.000000000000000000e+00     -9.272987583684983144e-18     -9.272987583684983144e-18
      9.836673346693386444e-01      1.000000000000000000e+00      8.445336249759509695e-01      0.000000000000000000e+00      7.917446946704337369e-20      7.917446946704337369e-20      0.000000000000000000e+00     -9.090497405649904548e-18     -9.090497405649904548e-18
      9.840681362725450798e-01      1.000000000000000000e+00      8.471471726440812366e-01      0.000000000000000000e+00      7.556785310714494289e-20      7.556785310714494289e-20      0.000000000000000000e+00     -8.906323637435340961e-18     -8.906323637435340961e-18
      9.844689378757514042e-01      1.000000000000000000e+00      8.497844977585381487e-01      0.000000000000000000e+00      7.203534587115197917e-20      7.203534587115197917e-20      0.000000000000000000e+00     -8.720549493659364496e-18     -8.720549493659364496e-18
      9.848697394789578397e-01      1.000000000000000000e+00      8.524459651543281336e-01      0.000000000000000000e+00      6.857758026962312415e-20      6.857758026962312415e-20      0.000000000000000000e+00     -8.533360145263890694e-18     -8.533360145263890694e-18
      9.852705410821642751e-01      1.000000000000000000e+00      8.551319475575875906e-01      0.000000000000000000e+00      6.519519864171679724e-20      6.519519864171679724e-20      0.000000000000000000e+00     -8.344469954569601945e-18     -8.344469954569601945e-18
      9.856713426853707105e-01      1.000000000000000000e+00      8.578428258084929148e-01      0.000000000000000000e+00      6.188885336646453089e-20      6.188885336646453089e-20      0.000000000000000000e+00     -8.153945882549545949e-18     -8.153945882549545949e-18
      9.860721442885771459e-01      1.000000000000000000e+00      8.605789890828861033e-01      0.000000000000000000e+00      5.865920709085371412e-20      5.865920709085371412e-20      0.000000000000000000e+00     -7.961738655489801773e-18     -7.961738655489801773e-18
      9.864729458917834704e-01      1.000000000000000000e+00      8.633408351341406162e-01      0.000000000000000000e+00      5.550693294869336488e-20      5.550693294869336488e-20      0.000000000000000000e+00     -7.767800668615115917e-18     -7.767800668615115917e-18
      9.868737474949899058e-01      1.000000000000000000e+00      8.661287705373699186e-01      0.000000000000000000e+00      5.243271479359142590e-20      5.243271479359142590e-20      0.000000000000000000e+00     -7.572183575667522632e-18     -7.572183575667522632e-18
      9.872745490981963412e-01      1.000000000000000000e+00      8.689432109395858195e-01      0.000000000000000000e+00      4.943724744124595403e-20      4.943724744124595403e-20      0.000000000000000000e+00     -7.374833323015721799e-18     -7.374833323015721799e-18
      9.876753507014027766e-01      1.000000000000000000e+00      8.717845813229951890e-01      0.000000000000000000e+00      4.652123691370497709e-20      4.652123691370497709e-20      0.000000000000000000e+00     -7.175697992704163383e-18     -7.175697992704163383e-18
      9.880761523046092121e-01      1.000000000000000000e+00      8.746533162778882264e-01      0.000000000000000000e+00      4.368540069076855967e-20      4.368540069076855967e-20      0.000000000000000000e+00     -6.974814751569655413e-18     -6.974814751569655413e-18
      9.884769539078155365e-01      1.000000000000000000e+00      8.775498602833340378e-01      0.000000000000000000e+00      4.093046797088324791e-20      4.093046797088324791e-20      0.000000000000000000e+00     -6.771958133701948228e-18     -6.771958133701948228e-18
      9.888777555110219719e-01      1.000000000000000000e+00      8.804746679993112890e-01      0.000000000000000000e+00      3.825717993841394848e-20      3.825717993841394848e-20      0.000000000000000000e+00     -6.567414452661397755e-18     -6.567414452661397755e-18
      9.892785571142284073e-01      1.000000000000000000e+00      8.834282045613037759e-01      0.000000000000000000e+00      3.566629004598641395e-20      3.566629004598641395e-20      0.000000000000000000e+00     -6.360878733830192401e-18     -6.360878733830192401e-18
      9.896793587174348428e-01      1.000000000000000000e+00      8.864109459043640893e-01      0.000000000000000000e+00      3.315856428828757896e-20      3.315856428828757896e-20      0.000000000000000000e+00     -6.152383682808979953e-18     -6.152383682808979953e-18
      9.900801603206412782e-01      1.000000000000000000e+00      8.894233790789182192e-01      0.000000000000000000e+00      3.073478150237802518e-20      3.073478150237802518e-20      0.000000000000000000e+00     -5.942021965717034602e-18     -5.942021965717034602e-18
      9.904809619238476026e-01      1.000000000000000000e+00      8.924660025925057472e-01      0.000000000000000000e+00      2.839573366451968078e-20      2.839573366451968078e-20      0.000000000000000000e+00     -5.729524959563317740e-18     -5.729524959563317740e-18
      9.908817635270540380e-01      1.000000000000000000e+00      8.955393267523018563e-01      0.000000000000000000e+00      2.614222620573678761e-20      2.614222620573678761e-20      0.000000000000000000e+00     -5.515115958170214391e-18     -5.515115958170214391e-18
      9.912825651302604735e-01      1.000000000000000000e+00      8.986438740354618648e-01      0.000000000000000000e+00      2.397507832550773238e-20      2.397507832550773238e-20      0.000000000000000000e+00     -5.298602148415511334e-18     -5.298602148415511334e-18
      9.916833667334669089e-01      1.000000000000000000e+00      9.017801794567068541e-01      0.000000000000000000e+00      2.189512332770324940e-20      2.189512332770324940e-20      0.000000000000000000e+00     -5.079993139937315833e-18     -5.079993139937315833e-18
      9.920841683366732333e-01      1.000000000000000000e+00      9.049487909583954215e-01      0.000000000000000000e+00      1.990320896007364588e-20      1.990320896007364588e-20      0.000000000000000000e+00     -4.859288771138066950e-18     -4.859288771138066950e-18
      9.924849699398796687e-01      1.000000000000000000e+00      9.081502698249535044e-01      0.000000000000000000e+00      1.800019775897900425e-20      1.800019775897900425e-20      0.000000000000000000e+00     -4.636375136351860428e-18     -4.636375136351860428e-18
      9.928857715430861042e-01      1.000000000000000000e+00      9.113851910910288900e-01      0.000000000000000000e+00      1.618696741902659998e-20      1.618696741902659998e-20      0.000000000000000000e+00     -4.411251512602650350e-18     -4.411251512602650350e-18
      9.932865731462925396e-01      1.000000000000000000e+00      9.146541439830887521e-01      0.000000000000000000e+00      1.446441116295692981e-20      1.446441116295692981e-20      0.000000000000000000e+00     -4.183907954719223496e-18     -4.183907954719223496e-18
      9.936873747494989750e-01      1.000000000000000000e+00      9.179577323782952547e-01      0.000000000000000000e+00      1.283343812435125752e-20      1.283343812435125752e-20      0.000000000000000000e+00     -3.954239289397643985e-18     -3.954239289397643985e-18
      9.940881763527054105e-01      1.000000000000000000e+00      9.212965752644257655e-01      0.000000000000000000e+00      1.129497375121017205e-20      1.129497375121017205e-20      0.000000000000000000e+00     -3.722275814976592013e-18     -3.722275814976592013e-18
      9.944889779559117349e-01      1.000000000000000000e+00      9.246713072406338441e-01      0.000000000000000000e+00      9.849960210990289806e-21      9.849960210990289806e-21      0.000000000000000000e+00     -3.487952970898908951e-18     -3.487952970898908951e-18
      9.948897795591181703e-01      1.000000000000000000e+00      9.280825790193563130e-01      0.000000000000000000e+00      8.499356818083204698e-21      8.499356818083204698e-21      0.000000000000000000e+00     -3.251140746812308724e-18     -3.251140746812308724e-18
      9.952905811623246057e-01      1.000000000000000000e+00      9.315310579673738989e-01      0.000000000000000000e+00      7.244140467194508013e-21      7.244140467194508013e-21      0.000000000000000000e+00     -3.011956044557929760e-18     -3.011956044557929760e-18
      9.956913827655310412e-01      1.000000000000000000e+00      9.350174286408686752e-01      0.000000000000000000e+00      6.085306091957342244e-21      6.085306091957342244e-21      0.000000000000000000e+00     -2.770232673684848284e-18     -2.770232673684848284e-18
      9.960921843687373656e-01      1.000000000000000000e+00      9.385423933760490556e-01      0.000000000000000000e+00      5.023867126019874378e-21      5.023867126019874378e-21      0.000000000000000000e+00     -2.525945590032013249e-18     -2.525945590032013249e-18
      9.964929859719438010e-01      1.000000000000000000e+00      9.421066728774976085e-01      0.000000000000000000e+00      4.060855989479648054e-21      4.060855989479648054e-21      0.000000000000000000e+00     -2.279062039436754534e-18     -2.279062039436754534e-18
      9.968937875751502364e-01      1.000000000000000000e+00      9.457110068441236805e-01      0.000000000000000000e+00      3.197324586992110169e-21      3.197324586992110169e-21      0.000000000000000000e+00     -2.029521641098896845e-18     -2.029521641098896845e-18
      9.972945891783566719e-01      1.000000000000000000e+00      9.493561546165012466e-01      0.000000000000000000e+00      2.434344824392435105e-21      2.434344824392435105e-21      0.000000000000000000e+00     -1.777285460369784318e-18     -1.777285460369784318e-18
      9.976953907815631073e-01      1.000000000000000000e+00      9.530428958510815951e-01      0.000000000000000000e+00      1.773009142871513913e-21      1.773009142871513913e-21      0.000000000000000000e+00     -1.522307694196672756e-18     -1.522307694196672756e-18
      9.980961923847694317e-01      1.000000000000000000e+00      9.567720312322547382e-01      0.000000000000000000e+00      1.214431070080579575e-21      1.214431070080579575e-21      0.000000000000000000e+00     -1.264523727855622883e-18     -1.264523727855622883e-18
      9.984969939879758671e-01      1.000000000000000000e+00      9.605443831951172573e-01      0.000000000000000000e+00      7.597457938684228262e-22      7.597457938684228262e-22      0.000000000000000000e+00     -1.003873228600669092e-18     -1.003873228600669092e-18
      9.988977955911823026e-01      1.000000000000000000e+00      9.643607967025752403e-01      0.000000000000000000e+00      4.101107522684965990e-22      4.101107522684965990e-22      0.000000000000000000e+00     -7.403142739092630617e-19     -7.403142739092630617e-19
      9.992985971943887380e-01      1.000000000000000000e+00      9.682221400387582833e-01      0.000000000000000000e+00      1.667062471425677254e-22      1.667062471425677254e-22      0.000000000000000000e+00     -4.737753560385260911e-19     -4.737753560385260911e-19
      9.996993987975951734e-01      1.000000000000000000e+00      9.721293056460682536e-01      0.000000000000000000e+00      3.073607845650259506e-23      3.073607845650259506e-23      0.000000000000000000e+00     -2.042056288354336207e-19     -2.042056288354336207e-19
